yardline_100,ydstogo,td_prob,fg_prob,opp_td_prob,opp_fg_prob,no_score_prob,ep,n
22.0,6.0,0.03615898,0.84408456,0.048132166,0.027529703,0.0434012,2.3657215,12
22.0,7.0,0.025888035,0.85418856,0.03645451,0.025042068,0.057848223,2.4134498,21
22.0,8.0,0.03200888,0.8436685,0.042118423,0.024842344,0.056748852,2.3857012,18
22.0,9.0,0.026112214,0.8505394,0.04315033,0.026693067,0.052864682,2.3523185,16
22.0,10.0,0.02423855,0.842565,0.033848174,0.021134952,0.07769937,2.3970757,21
22.0,11.0,0.017342662,0.8587537,0.035153236,0.021937534,0.06636204,2.3856962,7
22.0,12.0,0.019269384,0.8386538,0.037407696,0.024777718,0.07934132,2.3147166,9
22.0,13.0,0.020159075,0.8648873,0.037606362,0.027399544,0.049347766,2.3897853,4
22.0,14.0,0.024752557,0.82294554,0.03544165,0.020688014,0.095518984,2.3315642,7
22.0,15.0,0.027765067,0.85176575,0.043936227,0.025697015,0.05011891,2.3649938,9
22.0,16.0,0.024574995,0.8741965,0.045495402,0.029536411,0.02562215,2.3874102,3
22.0,17.0,0.03198757,0.8711278,0.05417612,0.031024896,0.010945166,2.3648796,4
22.0,18.0,0.032025352,0.8653264,0.06522568,0.032602772,0.004082609,2.265623,1
22.0,19.0,0.02053713,0.86119825,0.034418523,0.020196993,0.06315121,2.4254596,5
22.0,20.0,0.037757885,0.86936647,0.05674168,0.03363591,0.0016674427,2.374072,1
22.0,21.0,0.028944362,0.8801961,0.05899585,0.030667022,0.0005142443,2.337986,2
22.0,22.0,0.025267402,0.8663722,0.04415849,0.025049517,0.038521215,2.3916774,5
23.0,1.0,0.21820955,0.5868331,0.061910875,0.0496852,0.081862256,2.7066474,33
23.0,2.0,0.082496956,0.7778874,0.048774824,0.0345036,0.055345006,2.466498,23
23.0,3.0,0.047229446,0.8306863,0.04961219,0.03491329,0.036757935,2.3707345,19
23.0,4.0,0.043722782,0.83759713,0.057842,0.03445761,0.025552459,2.3104787,15
23.0,5.0,0.030955812,0.85390264,0.0584892,0.033657618,0.02222547,2.2675834,15
23.0,6.0,0.023380952,0.84974176,0.050124265,0.029310586,0.046856817,2.2739735,11
23.0,7.0,0.02650974,0.84134775,0.044977378,0.029249895,0.057196315,2.3069212,22
23.0,8.0,0.035955515,0.8321369,0.051967178,0.031695366,0.04740794,2.28918,24
23.0,9.0,0.026211811,0.85491437,0.050847292,0.030796299,0.036585346,2.2997496,16
23.0,10.0,0.025465865,0.8422801,0.03983982,0.02526413,0.0665456,2.3502777,34
23.0,11.0,0.031867575,0.85474926,0.05105238,0.032957096,0.028549684,2.330805,7
